Disease,Gender,symptoms,Cure
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abnormal discharge,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abnormal discharge,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"abdominal pain,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination,intermenstrual bleeding",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
